0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
5.7,0.3,0.32,0.3,0.28,0.32,0.28,0.35,5.69,5.63,0.62,0.55,0.59,0.6,0.59,0.6,0.61,0.65,1.19,1.16,1.15,1.2,1.2,1.15,1.2,1.18,5.7,5.68,2.33,2.22,2.31,2.31,2.35,2.3,2.32,5.69
5.66,0.3,0.32,0.3,0.28,0.32,0.31,0.31,5.64,5.68,0.56,0.55,0.59,0.55,0.59,0.6,0.51,0.67,1.2,1.17,1.15,1.15,1.15,1.2,1.16,1.18,5.63,5.7,2.35,2.35,2.31,2.34,2.35,2.32,2.37,5.68
5.68,0.34,0.32,0.3,0.3,0.32,0.28,0.35,5.65,5.68,0.62,0.6,0.59,0.55,0.54,0.6,0.61,0.68,1.19,1.16,1.15,1.16,1.15,1.15,1.17,1.22,5.68,5.68,2.38,2.32,2.3,2.31,2.35,2.3,2.33,5.69
5.63,0.34,0.32,0.27,0.27,0.32,0.31,0.31,5.68,5.7,0.62,0.56,0.59,0.6,0.49,0.6,0.61,0.65,1.2,1.21,1.15,1.15,1.15,1.1,1.16,1.18,5.65,5.68,2.33,0.71,2.3,2.31,2.3,2.32,2.33,5.68
5.68,0.3,0.29,0.3,0.3,0.32,0.28,0.35,5.69,5.69,0.57,0.6,0.59,0.61,0.54,0.55,0.56,0.62,1.25,1.21,1.15,1.2,1.15,1.15,1.16,1.18,5.68,5.68,2.34,2.22,2.31,2.3,2.3,2.3,2.33,5.64
5.69,0.3,0.32,0.3,0.3,0.28,0.31,0.38,5.68,5.68,0.58,0.6,0.59,0.56,0.49,0.6,0.56,0.6,1.2,1.17,1.2,1.2,1.15,1.15,1.16,1.18,5.69,5.68,2.34,2.32,2.31,2.3,2.31,2.32,2.33,5.68
5.66,0.34,0.32,0.3,0.28,0.32,0.31,0.38,5.63,5.63,0.57,0.6,0.59,0.56,0.59,0.56,0.56,0.65,1.24,1.21,1.15,1.15,1.19,1.16,1.16,1.17,5.68,5.65,2.33,2.32,2.31,2.26,2.35,2.3,2.34,5.68
5.68,0.34,0.32,0.3,0.28,0.32,0.28,0.33,5.68,5.7,0.62,0.55,0.55,0.61,0.49,0.6,0.61,0.65,1.2,1.21,1.1,1.15,1.15,1.15,1.17,1.22,5.7,5.66,2.33,2.3,2.3,2.3,2.31,2.35,2.34,5.64
5.68,0.34,0.32,0.3,0.28,0.32,0.31,0.38,5.68,5.66,0.57,0.55,0.59,0.56,0.54,0.6,0.61,0.64,1.2,1.16,1.15,1.15,1.16,1.2,1.2,1.18,5.68,5.68,2.34,2.27,2.3,2.31,2.31,2.3,2.33,5.63
5.68,0.3,0.32,0.27,0.32,0.32,0.28,0.38,5.68,5.66,0.57,0.6,0.59,0.61,0.54,0.6,0.61,0.68,1.15,1.17,1.15,1.2,1.2,1.2,1.15,1.22,5.68,5.69,2.38,2.32,2.31,2.31,2.31,2.31,2.32,5.7
5.68,0.34,0.32,0.27,0.32,0.32,0.28,0.38,5.65,5.7,0.57,0.6,0.55,0.59,0.49,0.6,0.61,0.68,1.19,1.16,1.2,1.1,1.2,1.16,1.2,1.17,5.68,5.64,2.29,2.32,2.3,2.26,2.31,2.32,2.33,5.65
5.68,0.34,0.32,0.3,0.3,0.28,0.31,0.33,5.69,5.7,0.56,0.55,0.59,0.55,0.54,0.6,0.61,0.57,1.25,1.16,1.15,1.14,1.15,1.16,1.2,1.18,5.68,5.68,2.33,2.35,2.31,2.31,2.31,2.32,2.32,5.64
5.65,0.3,0.32,0.3,0.27,0.32,0.28,0.33,5.64,5.65,0.62,0.55,0.55,0.55,0.54,0.6,0.56,0.65,1.2,1.16,1.15,1.14,1.15,1.15,1.16,1.18,5.68,5.68,2.33,0.68,2.3,2.3,2.3,2.36,2.34,5.68
5.64,0.3,0.31,0.3,0.27,0.32,0.31,0.38,5.68,5.65,0.61,0.6,0.59,0.59,0.59,0.6,0.56,0.62,1.2,1.16,1.15,1.14,1.15,1.15,1.2,1.18,5.68,5.68,2.33,2.22,2.31,2.31,2.35,2.32,2.33,5.69
5.66,0.34,0.31,0.3,0.27,0.32,0.31,0.33,5.64,5.68,0.56,0.6,0.5,0.59,0.55,0.6,0.51,0.6,1.19,1.16,1.16,1.1,1.15,1.16,1.16,1.18,5.65,5.7,2.38,2.32,2.31,2.3,2.35,2.32,2.38,5.65
5.69,0.34,0.31,0.27,0.27,0.32,0.31,0.38,5.65,5.68,0.56,0.5,0.59,0.59,0.59,0.6,0.61,0.65,1.2,1.11,1.15,1.2,1.15,1.15,1.2,1.22,5.69,5.68,2.34,2.35,2.31,2.3,2.35,2.3,2.28,5.66
5.65,0.34,0.28,0.27,0.3,0.32,0.31,0.38,5.65,5.69,0.62,0.55,0.59,0.55,0.54,0.55,0.56,0.67,1.2,1.16,1.15,1.15,1.15,1.15,1.2,1.18,5.63,5.68,2.34,2.32,2.31,2.31,2.3,2.32,2.33,5.65
5.68,0.34,0.32,0.3,0.3,0.32,0.28,0.38,5.68,5.68,0.62,0.55,0.55,0.55,0.5,0.6,0.61,0.62,1.2,1.16,1.1,1.14,1.15,1.15,1.16,1.18,5.68,5.65,2.34,2.31,2.31,2.31,2.3,2.31,2.33,5.69
5.68,0.3,0.32,0.3,0.27,0.32,0.31,0.38,5.68,5.69,0.58,0.55,0.59,0.5,0.59,0.6,0.51,0.65,1.19,1.17,1.2,1.19,1.19,1.15,1.15,1.19,5.68,5.65,2.34,2.32,2.35,2.31,2.35,2.36,2.38,5.66
5.7,0.3,0.32,0.27,0.27,0.32,0.31,0.38,5.65,5.63,0.62,0.55,0.55,0.5,0.59,0.6,0.61,0.66,1.19,1.17,1.15,1.15,1.15,1.16,1.2,1.18,5.68,5.68,2.29,2.32,2.32,2.3,2.35,2.32,2.34,5.68
5.63,0.3,0.32,0.3,0.3,0.32,0.31,0.38,5.65,5.68,0.62,0.55,0.59,0.54,0.59,0.6,0.56,0.68,1.2,1.2,1.2,1.1,1.19,1.15,1.2,1.18,5.65,5.66,2.34,2.32,2.31,2.3,2.31,2.32,2.33,5.65
5.68,0.34,0.32,0.3,0.3,0.3,0.31,0.38,5.65,5.66,0.61,0.6,0.59,0.49,0.59,0.6,0.61,0.6,1.2,1.16,1.15,1.14,1.15,1.2,1.15,1.18,5.69,5.65,2.35,2.32,2.35,2.31,2.3,2.32,2.29,5.65
